angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[798, 232, 256, 338]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[796, 232, 257, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[797, 232, 256, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[796, 232, 257, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[785, 229, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[786, 229, 264, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 228, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 228, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 228, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 266, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 266, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 264, 348]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 264, 348]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 268, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 231, 269, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 231, 269, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 231, 267, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 266, 348]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 231, 264, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 230, 262, 350]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[777, 231, 262, 349]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 234, 269, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 230, 263, 352]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 231, 263, 350]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 231, 263, 350]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 235, 268, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[776, 235, 271, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[775, 235, 272, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[775, 235, 272, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[776, 235, 272, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[776, 235, 272, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 270, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[779, 235, 270, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[779, 235, 270, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[779, 234, 269, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[780, 230, 264, 355]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[779, 230, 264, 354]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[780, 229, 265, 353]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[780, 229, 265, 353]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[782, 232, 265, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 265, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 231, 266, 350]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 232, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 232, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 265, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 265, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 235, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 233, 266, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 266, 348]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[782, 233, 267, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 234, 265, 349]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[784, 236, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 236, 267, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[787, 236, 267, 352]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 234, 266, 353]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[788, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[788, 235, 265, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 236, 266, 352]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[784, 229, 262, 351]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[784, 229, 262, 351]",0.0,0.0,0.98,0.02,0.0,0.0
